term,category,is_abbreviation,full_form,breakdown,definition,example_usage,synonyms,aliases,tags,,,,,,,,,
Digoxin Level,Lab Test,FALSE,Digoxin Level,,Measures blood level of digoxin heart medicine.,Digoxin level is 1.2 ng/mL in therapeutic range.,{},{},"{lab,diagnostic,chemistry,therapeutic-drug}",,,,,,,,,
Vancomycin Level,Lab Test,FALSE,Vancomycin Level,,Measures blood level of vancomycin antibiotic.,Vancomycin trough is 18 mcg/mL.,{},{},"{lab,diagnostic,chemistry,therapeutic-drug}",,,,,,,,,
Phenytoin Level,Lab Test,FALSE,Phenytoin Level,,Measures blood level of anti-seizure medicine phenytoin.,Phenytoin level too low at 6 mcg/mL.,{},{Dilantin level},"{lab,diagnostic,chemistry,therapeutic-drug}",,,,,,,,,
Theophylline Level,Lab Test,FALSE,Theophylline Level,,Measures blood level of theophylline asthma medicine.,Theophylline level is 12 mcg/mL within range.,{},{},"{lab,diagnostic,chemistry,therapeutic-drug}",,,,,,,,,
HIV Test,Lab Test,FALSE,HIV Test,,A screening test for human immunodeficiency virus.,Fourth generation HIV test is best.,{},"{HIV antibody,HIV antigen}","{lab,diagnostic,immunology,infectious}",,,,,,,,,
Hepatitis Panel,Lab Panel,FALSE,Hepatitis Panel,,Tests for hepatitis A B and C viruses.,Hepatitis panel ordered for yellow skin patient.,{},{},"{lab,diagnostic,immunology,infectious}",,,,,,,,,
HBsAg,Lab Test,TRUE,Hepatitis B Surface Antigen,,A marker of active hepatitis B infection.,Positive HBsAg means current HBV infection.,{},{},"{lab,diagnostic,immunology,infectious}",,,,,,,,,
Anti-HBs,Lab Test,FALSE,Hepatitis B Surface Antibody,,Shows immunity to hepatitis B from vaccine or past infection.,Positive anti-HBs shows HBV immunity.,{},{},"{lab,diagnostic,immunology,infectious}",,,,,,,,,
HCV Antibody,Lab Test,FALSE,Hepatitis C Antibody,,Screening test for hepatitis C virus.,Positive HCV antibody needs RNA test to confirm.,{},{},"{lab,diagnostic,immunology,infectious}",,,,,,,,,
RPR,Lab Test,TRUE,Rapid Plasma Reagin,,A screening test for syphilis.,Positive RPR confirmed with FTA-ABS.,{},{},"{lab,diagnostic,immunology,infectious}term",category,is_abbreviation,full_form,breakdown,definition,example_usage,synonyms,aliases,tags
RTE,Insurance,TRUE,Real-Time Eligibility,,A computer check that shows if a patient's insurance is active and what it covers.,Front desk staff run RTE before scheduling.,{},{},"{insurance,billing}",,,,,,,,,
Co-pay,Insurance,FALSE,Co-payment,,A set amount of money a patient pays when they visit the doctor.,Patient paid a $20 co-pay at check-in.,{},{},"{insurance,billing}",,,,,,,,,
Deductible,Insurance,FALSE,Insurance Deductible,,The amount a patient must pay before their insurance starts paying for care.,The patient has a $1500 deductible to meet.,{},{},"{insurance,billing}",,,,,,,,,
Coinsurance,Insurance,FALSE,Coinsurance,,The percentage of the bill a patient pays after meeting their deductible.,Patient is responsible for 20% coinsurance.,{},{},"{insurance,billing}",,,,,,,,,
EOB,Insurance,TRUE,Explanation of Benefits,,A paper or online statement showing what the insurance paid and what the patient owes.,Review the EOB to understand the claim payment.,{},{},"{insurance,billing}",,,,,,,,,
OOP,Insurance,TRUE,Out-of-Pocket,,The most money a patient pays in one year before insurance covers everything.,Patient has reached their $5000 OOP maximum.,{},{out-of-pocket maximum},"{insurance,billing}",,,,,,,,,
Prior Auth,Insurance,FALSE,Prior Authorization,,Permission from insurance needed before getting certain tests or treatments.,MRI requires prior auth before scheduling.,{},"{PA,pre-authorization}","{insurance,billing,approval}",,,,,,,,,
PPO,Insurance,TRUE,Preferred Provider Organization,,A type of insurance plan where you can see any doctor but pay less for in-network doctors.,Patient has a PPO plan and can self-refer.,{},{},"{insurance,plan-type}",,,,,,,,,
HMO,Insurance,TRUE,Health Maintenance Organization,,A type of insurance that requires you to use specific doctors and get referrals to see specialists.,HMO patients need a referral to see specialists.,{},{},"{insurance,plan-type}",,,,,,,,,
POS,Insurance,TRUE,Point of Service,,An insurance plan that mixes HMO and PPO rules.,POS plan requires PCP coordination but allows out-of-network.,{},{},"{insurance,plan-type}",,,,,,,,,
Medicare,Insurance,FALSE,Medicare,,Government health insurance mainly for people 65 and older.,Patient is eligible for Medicare Part B.,{},{},"{insurance,government}",,,,,,,,,
Medicaid,Insurance,FALSE,Medicaid,,Government health insurance for people with low income.,Patient has Medicaid coverage for the visit.,{},{},"{insurance,government}",,,,,,,,,
Premium,Insurance,FALSE,Insurance Premium,,The monthly payment to keep an insurance plan active.,Monthly premium is $450 for family coverage.,{},{},"{insurance,billing}",,,,,,,,,
Covered Services,Insurance,FALSE,Covered Services,,Medical care and tests that an insurance plan will pay for.,Annual physical is a covered service.,{},{},"{insurance,benefits}",,,,,,,,,
Exclusions,Insurance,FALSE,Insurance Exclusions,,Services or treatments that insurance will not pay for.,Cosmetic procedures are plan exclusions.,{},{},"{insurance,benefits}",,,,,,,,,
In-Network,Insurance,FALSE,In-Network Provider,,Doctors and hospitals that have an agreement with your insurance company.,Using in-network providers saves money.,{},{},"{insurance,network}",,,,,,,,,
Out-of-Network,Insurance,FALSE,Out-of-Network Provider,,Doctors and hospitals that do not have an agreement with your insurance company.,Out-of-network services cost more for patients.,{},{},"{insurance,network}",,,,,,,,,
Allowable Amount,Insurance,FALSE,Allowable Amount,,The maximum amount insurance will pay for a service.,The allowable amount for the visit was $150.,{},{},"{insurance,billing}",,,,,,,,,
Claim,Insurance,FALSE,Insurance Claim,,A request sent to insurance asking them to pay for services.,Submit the claim within 30 days of service.,{},{},"{insurance,billing}",,,,,,,,,
Denied Claim,Insurance,FALSE,Denied Claim,,An insurance request that was rejected and will not be paid.,The claim was denied due to missing information.,{},{},"{insurance,billing}",,,,,,,,,
GERD,Insurance,FALSE,Gastroesophageal Reflux Disease,,A common condition where stomach acid flows back into the throat causing heartburn.,Patient diagnosed with GERD needs PPI medication.,{},"{acid reflux,heartburn}","{insurance,diagnosis,gi}",,,,,,,,,
TES,Insurance,TRUE,Third-Party Eligibility System,,A system that checks if a patient's insurance is active and what services are covered.,Run TES check before scheduling the appointment.,{},{},"{insurance,billing,system}",,,,,,,,,
HPI,Documentation,TRUE,History of Present Illness,,A description of when the patient's symptoms started and how they have changed.,The HPI documents when pain started and how bad it is.,{},{},"{documentation,clinical}",,,,,,,,,
ROS,Documentation,TRUE,Review of Systems,,A checklist asking about symptoms in different parts of the body.,Complete ROS includes all 14 body systems.,{},{},"{documentation,clinical}",,,,,,,,,
PE,Documentation,TRUE,Physical Examination,,When a doctor checks the patient's body by looking listening and touching.,PE showed normal heart and lung sounds.,{},{physical exam},"{documentation,clinical}",,,,,,,,,
Dx,Documentation,TRUE,Diagnosis,,The name of the disease or condition the patient has.,Primary Dx is type 2 diabetes.,{},{},"{documentation,clinical}",,,,,,,,,
Tx,Documentation,TRUE,Treatment,,The medical care given to help the patient get better.,Tx includes lifestyle changes and metformin.,{},{},"{documentation,clinical}",,,,,,,,,
Encounter,Documentation,FALSE,Patient Encounter,,A single visit between a patient and their doctor.,Document the encounter in the EHR.,{},"{visit,appointment}","{documentation,workflow}",,,,,,,,,
Episode,Documentation,FALSE,Episode of Care,,A group of visits for the same health problem.,The pneumonia episode included 3 office visits.,{},{},"{documentation,workflow}",,,,,,,,,
SOAP,Documentation,TRUE,Subjective Objective Assessment Plan,,A way to write medical notes using four sections.,Use SOAP format for progress notes.,{},{},"{documentation,format}",,,,,,,,,
CC,Documentation,TRUE,Chief Complaint,,The main reason the patient came to see the doctor.,CC is chest pain for 2 hours.,{},{},"{documentation,clinical}",,,,,,,,,
PMH,Documentation,TRUE,Past Medical History,,A list of all health problems the patient has had before.,PMH includes high blood pressure and GERD.,{},{},"{documentation,clinical}",,,,,,,,,
PSH,Documentation,TRUE,Past Surgical History,,A list of all surgeries the patient has had.,PSH includes appendectomy in 2010.,{},{},"{documentation,clinical}",,,,,,,,,
FH,Documentation,TRUE,Family History,,Information about diseases that run in the patient's family.,FH significant for heart disease and diabetes.,{},{},"{documentation,clinical}",,,,,,,,,
SH,Documentation,TRUE,Social History,,Information about the patient's lifestyle like smoking and drinking.,SH reveals 20 pack-year smoking history.,{},{},"{documentation,clinical}",,,,,,,,,
Allergies,Documentation,FALSE,Allergy List,,A list of things that cause bad reactions in the patient.,Allergies include penicillin and shellfish.,{},{},"{documentation,clinical,safety}",,,,,,,,,
Medications,Documentation,FALSE,Medication List,,A current list of all medicines the patient is taking.,Medication list updated at every visit.,{},"{med list,current meds}","{documentation,clinical,safety}",,,,,,,,,
