term,category,is_abbreviation,full_form,breakdown,definition,example_usage,synonyms,aliases,tags
Medication List,Medication,FALSE,Medication List,,Complete list of all drugs patient takes.,Updated medication list in chart.,{},{med list},{medication}
Adherence,Medication,FALSE,Medication Adherence,,Taking medications as prescribed.,Patient has poor medication adherence.,{},{compliance},{medication}
Side Effect,Medication,FALSE,Side Effect,,Unwanted effect from a medication.,Nausea is common side effect.,{},{adverse effect},{medication}
Adverse Reaction,Medication,FALSE,Adverse Drug Reaction,,Harmful or dangerous response to medication.,Report adverse reactions to FDA.,{},{ADR},"{medication,safety}"
Drug Interaction,Medication,FALSE,Drug Interaction,,When medications affect each other.,Check for drug interactions.,{},{},"{medication,safety}"
Contraindication,Medication,FALSE,Contraindication,,A reason not to use a medication or treatment.,Pregnancy is contraindication for this drug.,{},{},"{medication,safety}"
Black Box Warning,Medication,FALSE,Black Box Warning,,Strongest FDA warning on a drug label.,Black box warning for suicide risk.,{},{},"{medication,safety}"
Dosage,Medication,FALSE,Dosage,,Amount of medication to take.,Dosage is 500mg twice daily.,{},{dose},{medication}
Route,Medication,FALSE,Route of Administration,,How medication is given.,Route is by mouth.,{},{},{medication}
Frequency,Medication,FALSE,Dosing Frequency,,How often to take medication.,Frequency is three times daily.,{},{},{medication}
Duration,Medication,FALSE,Treatment Duration,,How long to take medication.,Duration is 10 days.,{},{},{medication}
PO,Medication,TRUE,By Mouth,,"Take medication by mouth, swallow.",Give medication PO.,{},"{oral,orally}","{medication,route}"
IV,Medication,TRUE,Intravenous,,"Give medication through a vein, into bloodstream.",Antibiotic given IV.,{},{},"{medication,route}"
IM,Medication,TRUE,Intramuscular,,"Give medication as shot into muscle, not vein.",Vaccine given IM.,{},{},"{medication,route}"
SubQ,Medication,TRUE,Subcutaneous,,"Give medication under the skin, not in muscle or vein.",Insulin given SubQ.,{},"{SQ,SC}","{medication,route}"
Topical,Medication,FALSE,Topical,,"Apply medication on the skin, not swallowed.",Apply cream topically.,{},{},"{medication,route}"
Transdermal,Medication,FALSE,Transdermal,,"Medication absorbed through skin, usually a patch.",Nicotine patch is transdermal.,{},{},"{medication,route}"
Inhalation,Medication,FALSE,Inhalation,,"Breathe medication into lungs, usually for asthma.",Albuterol by inhalation.,{},{},"{medication,route}"
Rectal,Medication,FALSE,Rectal,,"Give medication through rectum, suppository.",Acetaminophen suppository rectally.,{},{},"{medication,route}"
Ophthalmic,Medication,FALSE,Ophthalmic,,"Medication for eyes, usually drops.",Ophthalmic drops for glaucoma.,{},{eye drops},"{medication,route}"
Otic,Medication,FALSE,Otic,,"Medication for ears, usually drops.",Otic drops for ear infection.,{},{ear drops},"{medication,route}"
Intranasal,Medication,FALSE,Intranasal,,"Give medication through nose, nasal spray.",Flu vaccine intranasal.,{},{nasal},"{medication,route}"
QD,Medication,TRUE,Once Daily,,"Take medication once per day, every day.",Take medication QD.,{},{daily},"{medication,frequency}"
BID,Medication,TRUE,Twice Daily,,"Take medication two times per day, morning and night.",Take medication BID.,{},{twice daily},"{medication,frequency}"
TID,Medication,TRUE,Three Times Daily,,"Take medication three times per day, spread throughout day.",Take medication TID.,{},{three times daily},"{medication,frequency}"
QID,Medication,TRUE,Four Times Daily,,"Take medication four times per day, every 6 hours.",Take medication QID.,{},{four times daily},"{medication,frequency}"
Q4H,Medication,TRUE,Every 4 Hours,,"Take medication every 4 hours, around the clock.",Pain medication Q4H PRN.,{},{},"{medication,frequency}"
Q6H,Medication,TRUE,Every 6 Hours,,"Take medication every 6 hours, four times daily.",Antibiotic Q6H.,{},{},"{medication,frequency}"
Q8H,Medication,TRUE,Every 8 Hours,,"Take medication every 8 hours, three times daily.",IV medication Q8H.,{},{},"{medication,frequency}"
Q12H,Medication,TRUE,Every 12 Hours,,"Take medication every 12 hours, twice daily.",Medication Q12H.,{},{},"{medication,frequency}"
QHS,Medication,TRUE,At Bedtime,,"Take medication at night before sleep, once daily.",Take medication QHS.,{},"{bedtime,at night}","{medication,frequency}"
AC,Medication,TRUE,Before Meals,,"Take medication before eating, on empty stomach.",Take medication AC.,{},{},"{medication,timing}"
PC,Medication,TRUE,After Meals,,"Take medication after eating, with food.",Take medication PC.,{},{},"{medication,timing}"
NPO,Medication,TRUE,Nothing By Mouth,,"No food or drink, usually before surgery or procedure.",Patient NPO after midnight.,{},{},"{medication,diet}"
PPI,Medication,TRUE,Proton Pump Inhibitor,,Medicine that reduces stomach acid for heartburn.,PPI for GERD.,{},"{omeprazole,pantoprazole}","{medication,drug-class}"
NSAID,Medication,TRUE,Nonsteroidal Anti-Inflammatory Drug,,Medicine that reduces pain fever and inflammation.,NSAID for arthritis pain.,{},"{ibuprofen,naproxen}","{medication,drug-class}"
SSRI,Medication,TRUE,Selective Serotonin Reuptake Inhibitor,,Antidepressant medication increasing serotonin.,SSRI for depression.,{},"{sertraline,fluoxetine}","{medication,drug-class}"
ACE Inhibitor,Medication,FALSE,ACE Inhibitor,,Blood pressure medicine that relaxes blood vessels.,ACE inhibitor for hypertension.,{},"{lisinopril,enalapril}","{medication,drug-class}"
ARB,Medication,TRUE,Angiotensin Receptor Blocker,,Blood pressure medicine similar to ACE inhibitor.,ARB alternative to ACE inhibitor.,{},"{losartan,valsartan}","{medication,drug-class}"
Beta Blocker,Medication,FALSE,Beta Blocker,,Medicine that slows heart rate and lowers blood pressure.,Beta blocker for heart failure.,{},"{metoprolol,carvedilol}","{medication,drug-class}"
Calcium Channel Blocker,Medication,FALSE,Calcium Channel Blocker,,Medicine that relaxes blood vessels and lowers blood pressure.,Calcium channel blocker for hypertension.,{},"{amlodipine,diltiazem}","{medication,drug-class}"
Diuretic,Medication,FALSE,Diuretic,,Medicine that removes extra fluid by increasing urine.,Diuretic for swelling.,{},"{water pill,furosemide,HCTZ}","{medication,drug-class}"
Statin,Medication,FALSE,Statin,,Medicine that lowers cholesterol.,Statin for high cholesterol.,{},"{atorvastatin,simvastatin}","{medication,drug-class}"
Anticoagulant,Medication,FALSE,Anticoagulant,,Medicine that prevents blood clots.,Anticoagulant for atrial fibrillation.,{},"{blood thinner,warfarin,apixaban}","{medication,drug-class}"
Antiplatelet,Medication,FALSE,Antiplatelet,,Medicine that prevents platelets from clumping.,Antiplatelet after stent.,{},"{aspirin,clopidogrel}","{medication,drug-class}"
Antibiotic,Medication,FALSE,Antibiotic,,Medicine that kills bacteria.,Antibiotic for infection.,{},{},"{medication,drug-class}"
Antiviral,Medication,FALSE,Antiviral,,Medicine that fights viruses.,Antiviral for flu.,{},{},"{medication,drug-class}"
Antifungal,Medication,FALSE,Antifungal,,Medicine that treats fungal infections.,Antifungal for yeast infection.,{},{},"{medication,drug-class}"
Bronchodilator,Medication,FALSE,Bronchodilator,,Medicine that opens airways in lungs.,Bronchodilator for asthma.,{},{albuterol},"{medication,drug-class}"
Corticosteroid,Medication,FALSE,Corticosteroid,,Medicine that reduces inflammation.,Steroid for inflammation.,{},"{steroid,prednisone}","{medication,drug-class}"
Opioid,Medication,FALSE,Opioid,,Strong pain medicine that can be addictive.,Opioid for severe pain.,{},"{narcotic,morphine,oxycodone}","{medication,drug-class}"
Insulin,Medication,FALSE,Insulin,,Hormone medicine that lowers blood sugar.,Insulin for diabetes.,{},{},"{medication,drug-class}"
Immunosuppressant,Medication,FALSE,Immunosuppressant,,Medicine that weakens immune system to prevent rejection.,Immunosuppressant after transplant.,{},{},"{medication,drug-class}"
Vaccine,Medication,FALSE,Vaccine,,Medicine that helps body build immunity to disease.,Flu vaccine annually.,{},{immunization},{medication}
HIPAA,Regulatory,TRUE,Health Insurance Portability and Accountability Act,,Federal law protecting patient health information privacy.,HIPAA protects medical records.,{},{},"{regulatory,compliance,privacy}"
PHI,Regulatory,TRUE,Protected Health Information,,Any health information that can identify a patient.,Do not share PHI without permission.,{},{},"{regulatory,compliance,privacy}"
Breach,Regulatory,FALSE,Privacy Breach,,Unauthorized access or disclosure of patient information.,Report security breach immediately.,{},{},"{regulatory,compliance,privacy}"
