term,category,is_abbreviat,full_form,breakdown,definition,example_usage,synonyms,aliases,tags
Anterior,Anatomical Direction,FALSE,Toward the Front,anterior,Toward or at the front of the body.,The sternum is anterior to the heart.,Ventral,"{}",{anatomical_direction}
Posterior,Anatomical Direction,FALSE,Toward the Back,posterior,Toward or at the back of the body.,The spine is posterior to the heart.,Dorsal,"{}",{anatomical_direction}
Ventral,Anatomical Direction,FALSE,Toward the Belly,ventral,Toward the front or belly side of the body.,The ventral surface faces forward.,Anterior,"{}",{anatomical_direction}
Dorsal,Anatomical Direction,FALSE,Toward the Back,dorsal,Toward the back side of the body.,The dorsal fin is on the back.,Posterior,"{}",{anatomical_direction}
Superior,Anatomical Direction,FALSE,Toward the Head,superior,Toward the head or upper part of structure.,The head is superior to the neck.,"Cranial, Cephalad","{}",{anatomical_direction}
Inferior,Anatomical Direction,FALSE,Toward the Feet,inferior,Away from the head or lower part of structure.,The feet are inferior to the knees.,Caudal,"{}",{anatomical_direction}
Cranial,Anatomical Direction,FALSE,Toward the Skull,cranial,Toward the head or cranium.,Cranial nerves exit the skull.,Superior,"{}",{anatomical_direction}
Caudal,Anatomical Direction,FALSE,Toward the Tail,caudal,Toward the tail or posterior end.,The caudal vertebrae form the tailbone.,Inferior,"{}",{anatomical_direction}
Medial,Anatomical Direction,FALSE,Toward the Midline,medial,Toward or at the midline of the body.,The nose is medial to the eyes.,{},"{}",{anatomical_direction}
Lateral,Anatomical Direction,FALSE,Away from Midline,lateral,Away from the midline of the body.,The ears are lateral to the nose.,{},"{}",{anatomical_direction}
Proximal,Anatomical Direction,FALSE,Closer to Origin,proximal,Closer to the point of attachment or origin.,The elbow is proximal to the wrist.,{},"{}",{anatomical_direction}
Distal,Anatomical Direction,FALSE,Farther from Origin,distal,Farther from the point of attachment or origin.,The fingers are distal to the elbow.,{},"{}",{anatomical_direction}
Superficial,Anatomical Direction,FALSE,Toward the Surface,superficial,Toward or at the body surface.,Skin is superficial to muscles.,External,"{}",{anatomical_direction}
Deep,Anatomical Direction,FALSE,Away from Surface,deep,Away from the body surface.,Bones are deep to the skin.,Internal,"{}",{anatomical_direction}
External,Anatomical Direction,FALSE,Outside Structure,external,On the outside of a structure.,The external surface of the skull.,Superficial,"{}",{anatomical_direction}
Internal,Anatomical Direction,FALSE,Inside Structure,internal,On the inside of a structure.,The internal organs are protected.,Deep,"{}",{anatomical_direction}
Ipsilateral,Anatomical Direction,FALSE,Same Side,ipsilateral,On the same side of the body.,The right arm and right leg are ipsilateral.,Homolateral,"{}",{anatomical_direction}
Contralateral,Anatomical Direction,FALSE,Opposite Side,contralateral,On opposite sides of the body.,The right arm and left leg are contralateral.,{},"{}",{anatomical_direction}
Bilateral,Anatomical Direction,FALSE,Both Sides,bilateral,Pertaining to both sides of the body.,Bilateral symmetry means mirror image.,{},"{}",{anatomical_direction}
Unilateral,Anatomical Direction,FALSE,One Side,unilateral,Pertaining to one side of the body.,Unilateral weakness affects one side.,{},"{}",{anatomical_direction}
Palmar,Anatomical Direction,FALSE,Palm Side,palmar,Relating to the palm of the hand.,The palmar surface has fingerprints.,Volar,"{}",{anatomical_direction}
Dorsal Hand,Anatomical Direction,FALSE,Back of Hand,dorsal,Relating to the back of the hand.,The dorsal surface has visible veins.,{},"{}",{anatomical_direction}
