term,category,is_abbreviation,full_form,breakdown,definition,example_usage,synonyms,aliases,tags
RTE,Insurance,True,Real-Time Eligibility,,An electronic check that verifies patient’s active insurance coverage and benefits before services are provided.,Front desk staff run RTE before scheduling.,{},{},"{insurance,billing}"
Co-pay,Insurance,False,Co-payment,,"A fixed amount a patient pays for a healthcare service, usually at the time of visit.",Patient paid a $20 co-pay at check-in.,{},{},"{insurance,billing}"
Deductible,Insurance,False,Insurance Deductible,,The amount a patient must pay for covered services before insurance begins to pay.,"The patient has a $1,500 deductible to meet.",{},{},"{insurance,billing}"
Coinsurance,Insurance,False,Coinsurance,,The percentage of costs the patient pays after meeting the deductible.,Patient responsible for 20% coinsurance.,{},{},"{insurance,billing}"
EOB,Insurance,True,Explanation of Benefits,,A statement from insurance showing what was covered and what the patient owes.,Patient reviewed EOB to understand bill.,{},{},"{insurance,billing}"
HMO,Insurance,True,Health Maintenance Organization,,Insurance plan requiring patients to use a defined network of providers.,Patient’s HMO required referral to specialist.,{},{},"{insurance,billing}"
PPO,Insurance,True,Preferred Provider Organization,,Insurance plan allowing more flexibility in choosing providers.,PPO allowed patient to see out-of-network provider at higher cost.,{},{},"{insurance,billing}"
ICD-10,Insurance,True,"International Classification of Diseases, 10th Revision",,System of codes for diagnoses used in billing and documentation.,Provider coded hypertension as ICD-10 I10.,{},{},"{billing,coding}"
CPT,Insurance,True,Current Procedural Terminology,,"Codes used to describe medical, surgical, and diagnostic services for billing.",Office visit billed under CPT 99213.,{},{},"{billing,coding}"
HPI,Documentation,True,History of Present Illness,,Section of clinical note describing the patient’s current symptoms.,Provider documented chest pain in HPI.,{},{},{documentation}
ROS,Documentation,True,Review of Systems,,Checklist of body systems reviewed for symptoms.,ROS positive for fatigue.,{},{},{documentation}
PE,Documentation,True,Physical Exam,,Section of clinical note documenting provider’s exam findings.,PE noted normal heart sounds.,{},{},{documentation}
Dx,Documentation,True,Diagnosis,,Condition identified by provider based on evaluation.,Dx: Type 2 Diabetes.,{},{},{documentation}
Tx,Documentation,True,Treatment,,Therapy or intervention prescribed for a condition.,Tx plan included medication and exercise.,{},{},{documentation}
Problem List,Documentation,False,Problem List,,Ongoing record of patient’s active and resolved medical issues.,Problem list updated with hypertension.,{},{},{documentation}
Encounter,Documentation,False,Encounter,,"A documented patient interaction (visit, telehealth, call) recorded in the EHR.",Refill request documented outside encounter.,{},{},{workflow}
Episode,Documentation,False,Episode of Care,,A group of related encounters for a condition over time.,Episode for diabetes included labs and visits.,{},{},{workflow}
CBC,Diagnostic,True,Complete Blood Count,,"Measures WBC, RBC, hemoglobin, hematocrit, platelets.",CBC ordered to evaluate anemia.,{},{},"{labs,hematology}"
BMP,Diagnostic,True,Basic Metabolic Panel,,"Includes: Sodium (Na), Potassium (K), Chloride (Cl), CO2 (bicarbonate), Blood Urea Nitrogen (BUN), Creatinine, Glucose, Calcium.",BMP ordered for dehydration to monitor electrolytes.,{Chem 7},{},"{labs,chemistry}"
CMP,Diagnostic,True,Comprehensive Metabolic Panel,,"Includes: BMP tests plus Albumin, Total Protein, AST, ALT, ALP, Bilirubin.",CMP ordered for liver function and electrolytes.,{},{},"{labs,chemistry}"
Lipid Panel,Diagnostic,False,Lipid Panel,,"Includes: Total Cholesterol, HDL, LDL, Triglycerides.",Lipid panel ordered for cardiovascular risk assessment.,{},{},"{labs,cardiology}"
Thyroid Panel,Diagnostic,False,Thyroid Panel,,"Includes: TSH, Free T4, Total T4, Free T3, Total T3.",Thyroid panel ordered for fatigue evaluation.,{},{},"{labs,endocrinology}"
RTE,Insurance,True,Real-Time Eligibility,,An electronic check that verifies patient’s active insurance coverage and benefits before services are provided.,Front desk staff run RTE before scheduling.,{},{},"{insurance,billing}"
Co-pay,Insurance,False,Co-payment,,"A fixed amount a patient pays for a healthcare service, usually at the time of visit.",Patient paid a $20 co-pay at check-in.,{},{},"{insurance,billing}"
Deductible,Insurance,False,Insurance Deductible,,The amount a patient must pay for covered services before insurance begins to pay.,"The patient has a $1,500 deductible to meet.",{},{},"{insurance,billing}"
Coinsurance,Insurance,False,Coinsurance,,The percentage of costs the patient pays after meeting the deductible.,Patient responsible for 20% coinsurance.,{},{},"{insurance,billing}"
EOB,Insurance,True,Explanation of Benefits,,A statement from insurance showing what was covered and what the patient owes.,Patient reviewed EOB to understand bill.,{},{},"{insurance,billing}"
HMO,Insurance,True,Health Maintenance Organization,,Insurance plan requiring patients to use a defined network of providers.,Patient’s HMO required referral to specialist.,{},{},"{insurance,billing}"
PPO,Insurance,True,Preferred Provider Organization,,Insurance plan allowing more flexibility in choosing providers.,PPO allowed patient to see out-of-network provider at higher cost.,{},{},"{insurance,billing}"
ICD-10,Insurance,True,"International Classification of Diseases, 10th Revision",,System of codes for diagnoses used in billing and documentation.,Provider coded hypertension as ICD-10 I10.,{},{},"{billing,coding}"
CPT,Insurance,True,Current Procedural Terminology,,"Codes used to describe medical, surgical, and diagnostic services for billing.",Office visit billed under CPT 99213.,{},{},"{billing,coding}"
HPI,Documentation,True,History of Present Illness,,Section of clinical note describing the patient’s current symptoms.,Provider documented chest pain in HPI.,{},{},{documentation}
ROS,Documentation,True,Review of Systems,,Checklist of body systems reviewed for symptoms.,ROS positive for fatigue.,{},{},{documentation}
PE,Documentation,True,Physical Exam,,Section of clinical note documenting provider’s exam findings.,PE noted normal heart sounds.,{},{},{documentation}
Dx,Documentation,True,Diagnosis,,Condition identified by provider based on evaluation.,Dx: Type 2 Diabetes.,{},{},{documentation}
