term,category,is_abbreviation,full_form,breakdown,definition,example_usage,synonyms,aliases,tags
HTN,Condition,true,Hypertension,,"Persistently elevated blood pressure, typically above 140/90 mmHg, that increases risk of heart disease, stroke, and kidney damage.","Patient diagnosed with HTN, started on lisinopril.",High Blood Pressure,"HBP,BP",cardiovascular;chronic
TSH,Diagnostic,true,Thyroid Stimulating Hormone,,"A hormone produced by the pituitary gland that regulates thyroid function. Elevated levels suggest hypothyroidism, while low levels suggest hyperthyroidism.","TSH level was 8.5, indicating hypothyroidism.",Thyrotropin,,endocrine;lab;thyroid
T4,Diagnostic,true,Thyroxine,,"Primary thyroid hormone that regulates metabolism. Measured as free T4 or total T4 to assess thyroid function.",Free T4 was within normal range at 1.2 ng/dL.,Tetraiodothyronine,,endocrine;lab;thyroid
IR,Specialty,true,Interventional Radiology,,"Medical specialty using minimally invasive image-guided procedures to diagnose and treat diseases.",Patient referred to IR for hepatic artery embolization.,,Intervention Radiology,radiology;specialty
Spirometry,Diagnostic,false,,spiro- (breath) + -metry (measurement),"Pulmonary function test measuring lung volume and airflow to diagnose conditions like asthma and COPD.","Spirometry showed obstructive pattern with FEV1 65% predicted.",Lung Function Test,PFT,pulmonary;respiratory;test
Pap Smear,Procedure,false,,,"Cervical cancer screening test where cells are collected from the cervix and examined for abnormalities.","Annual pap smear recommended for women ages 21-65.",Papanicolaou Test,Cervical Cytology,gynecology;screening;preventive
Encounter,Workflow,false,,,"A single interaction between patient and healthcare provider, used for documentation and billing purposes.","Coded as office visit encounter level 4.",Visit,Patient Visit,administrative;billing
MRI,Diagnostic,true,Magnetic Resonance Imaging,,"Advanced imaging technique using magnetic fields and radio waves to create detailed pictures of organs and tissues.",Brain MRI ordered to evaluate for stroke.,,Magnetic Resonance,radiology;imaging
CBC,Diagnostic,true,Complete Blood Count,,"Common blood test measuring red cells, white cells, hemoglobin, hematocrit, and platelets to assess overall health.","CBC shows mild anemia with hemoglobin 10.2 g/dL.",,,hematology;lab;routine
NPO,Workflow,true,Nil Per Os (Nothing By Mouth),,"Instruction for patient to abstain from all oral intake, typically before surgery or procedures.","Patient NPO after midnight for morning surgery.",Nothing By Mouth,NBM,perioperative;instruction
