term,category,is_abbreviation,full_form,breakdown,definition,example_usage,synonyms,aliases,tags
BP,Workflow,TRUE,Blood Pressure,,Measurement of the force of blood against arterial walls expressed as systolic over diastolic.,BP is 120/80 mmHg within normal limits.,,,"vital-signs;assessment;clinical"
HR,Workflow,TRUE,Heart Rate,,Number of heartbeats per minute.,HR is 72 bpm and regular.,,,"vital-signs;assessment;clinical"
RR,Workflow,TRUE,Respiratory Rate,,Number of breaths taken per minute.,RR is 16 breaths per minute.,,,"vital-signs;assessment;clinical"
Temp,Workflow,TRUE,Temperature,,Measurement of body heat typically in Fahrenheit or Celsius.,Temp is 98.6°F orally.,,,"vital-signs;assessment;clinical"
O2,Workflow,TRUE,Oxygen,,Gas essential for cellular respiration often measured as saturation level.,Patient on 2L O2 via nasal cannula.,,,"vital-signs;respiratory;clinical"
SpO2,Workflow,TRUE,Oxygen Saturation,,Percentage of hemoglobin saturated with oxygen measured by pulse oximetry.,SpO2 is 98% on room air.,,,"vital-signs;respiratory;clinical"
VS,Workflow,TRUE,Vital Signs,,Basic body measurements including BP HR RR temperature and sometimes oxygen saturation.,Nurse documented all VS at 0800.,,,"vital-signs;assessment;clinical"
TPR,Workflow,TRUE,Temperature Pulse Respiration,,Traditional set of three vital signs measured together.,Aide recorded TPR every 4 hours.,,,"vital-signs;assessment;clinical"
I&O,Workflow,TRUE,Intake and Output,,Measurement and recording of all fluids entering and leaving the body.,Monitor strict I&O for renal patient.,,,"assessment;clinical;nursing"
BMI,Workflow,TRUE,Body Mass Index,,Calculation using height and weight to assess body composition.,BMI of 27 indicates overweight category.,,,"assessment;clinical;measurement"
BSA,Workflow,TRUE,Body Surface Area,,Calculated measurement of total body surface used for medication dosing.,Chemotherapy dose calculated based on BSA.,,,"assessment;clinical;measurement"
CBC,Workflow,TRUE,Complete Blood Count,,Laboratory test measuring red cells white cells hemoglobin hematocrit and platelets.,CBC shows elevated WBC count.,,,"lab;diagnostic;hematology"
BMP,Workflow,TRUE,Basic Metabolic Panel,,Laboratory test measuring glucose calcium sodium potassium CO2 chloride BUN and creatinine.,BMP reveals hyperglycemia and elevated creatinine.,,,"lab;diagnostic;chemistry"
CMP,Workflow,TRUE,Comprehensive Metabolic Panel,,Extended metabolic panel including BMP plus liver function tests and protein levels.,CMP indicates impaired liver function.,,,"lab;diagnostic;chemistry"
PT,Workflow,TRUE,Prothrombin Time,,Blood test measuring clotting time used to monitor warfarin therapy.,PT/INR checked before surgery.,,,"lab;diagnostic;coagulation"
PTT,Workflow,TRUE,Partial Thromboplastin Time,,Blood test measuring clotting time used to monitor heparin therapy.,PTT elevated on heparin drip.,,,"lab;diagnostic;coagulation"
INR,Workflow,TRUE,International Normalized Ratio,,Standardized measure of blood clotting time primarily for warfarin monitoring.,INR therapeutic range is 2-3 for AFib.,,,"lab;diagnostic;coagulation"
TSH,Workflow,TRUE,Thyroid Stimulating Hormone,,Hormone test used to assess thyroid function.,TSH elevated suggesting hypothyroidism.,,,"lab;diagnostic;endocrine"
T3,Workflow,TRUE,Triiodothyronine,,Active thyroid hormone test.,Free T3 level within normal range.,,,"lab;diagnostic;endocrine"
T4,Workflow,TRUE,Thyroxine,,Thyroid hormone test.,Free T4 low in hypothyroid patient.,,,"lab;diagnostic;endocrine"
HbA1c,Workflow,TRUE,Hemoglobin A1c,,Blood test measuring average glucose levels over 2-3 months used for diabetes management.,HbA1c of 6.8% indicates fair diabetes control.,,,"lab;diagnostic;endocrine;diabetes"
ABG,Workflow,TRUE,Arterial Blood Gas,,Blood test measuring oxygen carbon dioxide and pH from arterial blood.,ABG shows respiratory acidosis.,,,"lab;diagnostic;respiratory;critical-care"
UA,Workflow,TRUE,Urinalysis,,Laboratory examination of urine for infection protein blood and other abnormalities.,UA positive for bacteria and WBCs.,,,"lab;diagnostic;nephrology"
LFT,Workflow,TRUE,Liver Function Test,,Panel of tests measuring liver enzymes and bilirubin to assess liver health.,LFTs elevated suggesting hepatotoxicity.,,,"lab;diagnostic;hepatology"
CT,Workflow,TRUE,Computed Tomography,,Imaging using X-rays from multiple angles to create cross-sectional images.,CT scan of abdomen ordered to rule out appendicitis.,,,"imaging;diagnostic;radiology"
MRI,Workflow,TRUE,Magnetic Resonance Imaging,,Imaging using magnetic fields and radio waves to create detailed body images.,MRI of brain shows no acute findings.,,,"imaging;diagnostic;radiology"
X-ray,Workflow,FALSE,,,Imaging using electromagnetic radiation to visualize internal structures especially bones.,Chest X-ray reveals pneumonia in right lower lobe.,,,"imaging;diagnostic;radiology"
US,Workflow,TRUE,Ultrasound,,Imaging using sound waves to visualize soft tissues and organs.,US confirms viable intrauterine pregnancy.,,,"imaging;diagnostic;radiology"
