term,category,is_abbreviation,full_form,breakdown,definition,example_usage,synonyms,aliases,tags
OSHA,Regulatory,TRUE,Occupational Safety and Health Administration,,Federal agency ensuring safe and healthy working conditions.,OSHA regulations require proper handling of biohazards.,,,"acronym;regulation;safety"
CDC,Regulatory,TRUE,Centers for Disease Control and Prevention,,Federal agency that protects public health and safety.,The CDC issued new vaccination guidelines.,,,"acronym;organization;public-health"
FDA,Regulatory,TRUE,Food and Drug Administration,,Federal agency responsible for protecting public health by regulating food drugs and medical devices.,The FDA approved the new medication.,,,"acronym;organization;regulation"
WHO,Regulatory,TRUE,World Health Organization,,International organization directing global health matters.,The WHO declared a public health emergency.,,,"acronym;organization;international"
NIH,Regulatory,TRUE,National Institutes of Health,,Federal agency conducting and supporting medical research.,The study was funded by the NIH.,,,"acronym;organization;research"
AHA,Regulatory,TRUE,American Heart Association,,Organization focused on reducing cardiovascular disease and stroke.,The AHA recommends CPR training for all.,,,"acronym;organization;cardiovascular"
JCAHO,Regulatory,TRUE,Joint Commission on Accreditation of Healthcare Organizations,,Organization that accredits healthcare facilities.,The hospital is preparing for JCAHO inspection.,The Joint Commission,TJC,"acronym;organization;accreditation"
ACLS,Staff,TRUE,Advanced Cardiovascular Life Support,,Advanced training for healthcare providers in cardiac emergency care.,All ICU nurses must be ACLS certified.,,,"acronym;certification;emergency;cardiovascular"
BLS,Staff,TRUE,Basic Life Support,,Fundamental emergency care including CPR and AED use.,BLS certification is required for all clinical staff.,,,"acronym;certification;emergency"
PALS,Staff,TRUE,Pediatric Advanced Life Support,,Advanced training for managing critically ill infants and children.,PALS certification is mandatory for pediatric nurses.,,,"acronym;certification;emergency;pediatrics"
NICU,Workflow,TRUE,Neonatal Intensive Care Unit,,Specialized unit caring for premature and critically ill newborns.,The premature infant was admitted to the NICU.,,,"acronym;department;pediatrics;neonatal"
PICU,Workflow,TRUE,Pediatric Intensive Care Unit,,Specialized unit caring for critically ill children.,The child with severe asthma was transferred to PICU.,,,"acronym;department;pediatrics"
SICU,Workflow,TRUE,Surgical Intensive Care Unit,,ICU specializing in post-operative critical care.,The patient recovered in SICU after major surgery.,,,"acronym;department;surgery"
MICU,Workflow,TRUE,Medical Intensive Care Unit,,ICU for medically complex patients.,The patient with sepsis was admitted to MICU.,,,"acronym;department"
MRSA,Condition,TRUE,Methicillin-Resistant Staphylococcus Aureus,,Antibiotic-resistant bacterial infection.,The patient was isolated due to MRSA.,,,"acronym;infection;microbiology"
VRE,Condition,TRUE,Vancomycin-Resistant Enterococcus,,Antibiotic-resistant bacterial infection.,Contact precautions were implemented for VRE.,,,"acronym;infection;microbiology"
CDIFF,Condition,TRUE,Clostridioides Difficile,,Bacterial infection causing severe diarrhea.,The patient developed CDIFF after antibiotic use.,C. diff,Clostridium difficile,"acronym;infection;microbiology"
ESBL,Condition,TRUE,Extended-Spectrum Beta-Lactamase,,Enzyme produced by bacteria causing antibiotic resistance.,ESBL-producing bacteria require specific antibiotics.,,,"acronym;infection;microbiology"
AIDS,Condition,TRUE,Acquired Immunodeficiency Syndrome,,Advanced stage of HIV infection.,The patient was diagnosed with AIDS.,,,"acronym;diagnosis;infectious-disease"
SARS,Condition,TRUE,Severe Acute Respiratory Syndrome,,Viral respiratory illness.,SARS outbreak occurred in 2003.,,,"acronym;diagnosis;respiratory;infectious-disease"
ARDS,Condition,TRUE,Acute Respiratory Distress Syndrome,,Severe lung condition causing breathing failure.,The patient developed ARDS from pneumonia.,,,"acronym;diagnosis;respiratory;emergency"
SIDS,Condition,TRUE,Sudden Infant Death Syndrome,,Unexplained death of an infant under one year.,Safe sleep practices reduce SIDS risk.,,,"acronym;diagnosis;pediatrics"
ALS,Condition,TRUE,Amyotrophic Lateral Sclerosis,,Progressive neurodegenerative disease affecting motor neurons.,ALS leads to muscle weakness and atrophy.,Lou Gehrig's Disease,,"acronym;diagnosis;neurological"
CHD,Condition,TRUE,Coronary Heart Disease,,Disease of the heart's blood vessels.,CHD is a leading cause of death.,Coronary Artery Disease,,"acronym;diagnosis;cardiovascular"
URI,Condition,TRUE,Upper Respiratory Infection,,Infection of the upper airways.,URI symptoms include congestion and sore throat.,Common Cold,,"acronym;diagnosis;respiratory;infectious-disease"
TURP,Specialty,TRUE,Transurethral Resection of the Prostate,,Surgical procedure to remove prostate tissue.,TURP is performed to treat BPH.,,,"acronym;procedure;urology;surgery"
CABG,Specialty,TRUE,Coronary Artery Bypass Graft,,Open-heart surgery to improve blood flow to the heart.,The patient underwent CABG surgery.,Heart Bypass,,"acronym;procedure;cardiovascular;surgery"
PTCA,Specialty,TRUE,Percutaneous Transluminal Coronary Angioplasty,,Procedure to open blocked coronary arteries.,PTCA restored blood flow to the heart.,Angioplasty,PCI,"acronym;procedure;cardiovascular"
PCI,Specialty,TRUE,Percutaneous Coronary Intervention,,Non-surgical procedure to open blocked coronary arteries.,PCI involves inserting a stent.,,PTCA,"acronym;procedure;cardiovascular"
EGD,Specialty,TRUE,Esophagogastroduodenoscopy,,Endoscopic examination of upper digestive tract.,EGD can diagnose ulcers and bleeding.,Upper Endoscopy,,"acronym;procedure;gastrointestinal"
ERCP,Specialty,TRUE,Endoscopic Retrograde Cholangiopancreatography,,Procedure to diagnose and treat bile duct problems.,ERCP can remove gallstones from bile ducts.,,,"acronym;procedure;gastrointestinal"
CPOE,Workflow,TRUE,Computerized Physician Order Entry,,Electronic system for entering medical orders.,CPOE reduces medication errors.,,,"acronym;technology;medication-safety"
PACS,Workflow,TRUE,Picture Archiving and Communication System,,System for storing and accessing medical images.,PACS allows radiologists to view images remotely.,,,"acronym;technology;imaging"
NPI,Documentation,TRUE,National Provider Identifier,,Unique identification number for healthcare providers.,Each physician must have an NPI number.,,,"acronym;identification;healthcare-system"
ICD,Documentation,TRUE,International Classification of Diseases,,Standardized system for diagnostic codes.,ICD-10 codes are used for billing.,,,"acronym;coding;documentation"
QA,Workflow,TRUE,Quality Assurance,,Process of ensuring healthcare meets quality standards.,QA reviews improve patient safety.,,,"acronym;quality;healthcare-system"
