term,category,is_abbreviation,full_form,breakdown,definition,example_usage,synonyms,aliases,tags
RTE,Insurance,True,Real-Time Eligibility,,An electronic check that verifies patient's active insurance coverage and benefits before services are provided.,Front desk staff run RTE before scheduling.,{},"{}","{insurance,billing}"
Co-pay,Insurance,False,Co-payment,,A fixed amount a patient pays for a healthcare service usually at the time of visit.,Patient paid a $20 co-pay at check-in.,{},"{}","{insurance,billing}"
Deductible,Insurance,False,Insurance Deductible,,The amount a patient must pay for covered services before insurance begins to pay.,The patient has a $1500 deductible to meet.,{},"{}","{insurance,billing}"
Coinsurance,Insurance,False,Coinsurance,,The percentage of costs the patient pays after meeting the deductible.,Patient responsible for 20% coinsurance.,{},"{}","{insurance,billing}"
EOB,Insurance,True,Explanation of Benefits,,A statement from insurance showing what was covered and what the patient owes.,Review the EOB to understand claim payment.,{},"{}","{insurance,billing}"
OOP,Insurance,True,Out-of-Pocket,,The maximum amount a patient pays during a policy period before insurance covers 100%.,Patient has reached their $5000 OOP maximum.,{},"{out-of-pocket maximum}","{insurance,billing}"
Prior Auth,Insurance,False,Prior Authorization,,Insurance approval required before certain services or medications can be provided.,MRI requires prior auth before scheduling.,{},"{PA,pre-authorization}","{insurance,billing,approval}"
PPO,Insurance,True,Preferred Provider Organization,,A type of health insurance plan that offers flexibility to see any provider with lower costs for in-network.,Patient has a PPO plan and can self-refer.,{},"{}","{insurance,plan-type}"
HMO,Insurance,True,Health Maintenance Organization,,A type of health insurance that requires members to use in-network providers and get referrals.,HMO patients need a referral to see specialists.,{},"{}","{insurance,plan-type}"
POS,Insurance,True,Point of Service,,A health insurance plan that combines features of HMO and PPO plans.,POS plan requires PCP coordination but allows out-of-network.,{},"{}","{insurance,plan-type}"
Medicare,Insurance,False,Medicare,,Federal health insurance program primarily for people 65 and older.,Patient is eligible for Medicare Part B.,{},"{}","{insurance,government}"
Medicaid,Insurance,False,Medicaid,,State and federal program providing health coverage for low-income individuals.,Patient has Medicaid coverage for the visit.,{},"{}","{insurance,government}"
Premium,Insurance,False,Insurance Premium,,The amount paid for an insurance policy typically monthly.,Monthly premium is $450 for family coverage.,{},"{}","{insurance,billing}"
Covered Services,Insurance,False,Covered Services,,Medical services and procedures that an insurance plan will pay for.,Annual physical is a covered service.,{},"{}","{insurance,benefits}"
Exclusions,Insurance,False,Insurance Exclusions,,Services or treatments that are not covered by an insurance policy.,Cosmetic procedures are plan exclusions.,{},"{}","{insurance,benefits}"
In-Network,Insurance,False,In-Network Provider,,Healthcare providers who have contracted with an insurance company to provide services at reduced rates.,Using in-network providers saves money.,{},"{}","{insurance,network}"
Out-of-Network,Insurance,False,Out-of-Network Provider,,Healthcare providers who have not contracted with an insurance company.,Out-of-network services have higher patient costs.,{},"{}","{insurance,network}"
Allowable Amount,Insurance,False,Allowable Amount,,The maximum amount an insurance company will pay for a covered service.,The allowable amount for the visit was $150.,{},"{}","{insurance,billing}"
Claim,Insurance,False,Insurance Claim,,A request for payment submitted to an insurance company for services rendered.,Submit the claim within 30 days of service.,{},"{}","{insurance,billing}"
Denied Claim,Insurance,False,Denied Claim,,An insurance claim that has been rejected and will not be paid.,The claim was denied due to missing information.,{},"{}","{insurance,billing}"
HPI,Documentation,True,History of Present Illness,,A chronological description of the development of the patient's present illness.,The HPI documents onset duration and character of symptoms.,{},"{}","{documentation,clinical}"
ROS,Documentation,True,Review of Systems,,A systematic approach to collecting information about patient symptoms across body systems.,Complete ROS includes all 14 organ systems.,{},"{}","{documentation,clinical}"
PE,Documentation,True,Physical Examination,,The process of evaluating the patient through observation palpation and other techniques.,PE revealed normal heart and lung sounds.,{},"{physical exam}","{documentation,clinical}"
Dx,Documentation,True,Diagnosis,,The identification of a disease or condition based on signs and symptoms.,Primary Dx is type 2 diabetes mellitus.,{},"{}","{documentation,clinical}"
Tx,Documentation,True,Treatment,,Medical care provided to a patient for a condition or disease.,Tx includes lifestyle modifications and metformin.,{},"{}","{documentation,clinical}"
Encounter,Documentation,False,Patient Encounter,,A single interaction between a patient and healthcare provider for assessment or treatment.,Document the encounter in the EHR.,{},"{visit,appointment}","{documentation,workflow}"
Episode,Documentation,False,Episode of Care,,A series of encounters related to the same condition within a specific timeframe.,The pneumonia episode included 3 office visits.,{},"{}","{documentation,workflow}"
SOAP,Documentation,True,Subjective Objective Assessment Plan,,A method of documentation that organizes clinical information into four sections.,Use SOAP format for progress notes.,{},"{}","{documentation,format}"
CC,Documentation,True,Chief Complaint,,The primary reason the patient is seeking medical care.,CC is chest pain for 2 hours.,{},"{}","{documentation,clinical}"
PMH,Documentation,True,Past Medical History,,A record of all previous illnesses surgeries and medical conditions.,PMH includes hypertension and GERD.,{},"{}","{documentation,clinical}"
PSH,Documentation,True,Past Surgical History,,A list of all previous surgical procedures the patient has undergone.,PSH includes appendectomy in 2010.,{},"{}","{documentation,clinical}"
FH,Documentation,True,Family History,,Information about diseases and conditions that run in the patient's family.,FH significant for heart disease and diabetes.,{},"{}","{documentation,clinical}"
SH,Documentation,True,Social History,,Information about the patient's lifestyle including smoking alcohol and occupation.,SH reveals 20 pack-year smoking history.,{},"{}","{documentation,clinical}"
Allergies,Documentation,False,Allergy List,,A record of substances that cause adverse reactions in the patient.,Allergies include penicillin and shellfish.,{},"{}","{documentation,clinical,safety}"
Medications,Documentation,False,Medication List,,A current list of all medications the patient is taking.,Medication list updated at every visit.,{},"{med list,current meds}","{documentation,clinical,safety}"
