term,category,is_abbreviat,full_form,breakdown,definition,example_usage,synonyms,aliases,tags
A,Prefix,FALSE,Without or Not,a-,Without or not.,Apnea is not breathing.,An,"{}",{prefix}
An,Prefix,FALSE,Without or Not,an-,Without or not.,Anemia is without enough red blood cells.,A,"{}",{prefix}
Ab,Prefix,FALSE,Away From,ab-,Away from or from.,Abduction moves away from body.,{},"{}",{prefix}
Ad,Prefix,FALSE,Toward or Near,ad-,Toward or near.,Adduction moves toward body.,{},"{}",{prefix}
Ambi,Prefix,FALSE,Both or Both Sides,ambi-,Both or both sides.,Ambidextrous uses both hands.,{},"{}",{prefix}
Amphi,Prefix,FALSE,Both or Around,amphi-,Both or around.,Amphiarthrosis allows slight movement.,{},"{}",{prefix}
Ana,Prefix,FALSE,Up or Back,ana-,Up or back or again.,Anabolism builds up.,{},"{}",{prefix}
Ante,Prefix,FALSE,Before or Forward,ante-,Before or forward.,Antenatal is before birth.,Pre,"{}",{prefix}
Anti,Prefix,FALSE,Against,anti-,Against or opposing.,Antibiotic works against bacteria.,{},"{}",{prefix}
Apo,Prefix,FALSE,Away From or Separation,apo-,Away from or separation.,Apoptosis is cell death.,{},"{}",{prefix}
Auto,Prefix,FALSE,Self,auto-,Self.,Autoimmune attacks self.,{},"{}",{prefix}
Bi,Prefix,FALSE,Two or Both,bi-,Two or both.,Bilateral is affecting both sides.,Di,"{}",{prefix}
Brady,Prefix,FALSE,Slow,brady-,Slow.,Bradycardia is slow heart rate.,{},"{}",{prefix}
Cata,Prefix,FALSE,Down,cata-,Down or under or against.,Catabolism breaks down.,{},"{}",{prefix}
Circum,Prefix,FALSE,Around,circum-,Around.,Circumcision is removal around the foreskin.,Peri,"{}",{prefix}
Co,Prefix,FALSE,Together or With,co-,Together or with.,Coenzyme works with enzyme.,Con,"{}",{prefix}
Con,Prefix,FALSE,Together or With,con-,Together or with.,Congenital present at birth.,Co,"{}",{prefix}
Contra,Prefix,FALSE,Against or Opposite,contra-,Against or opposite.,Contraindication is reason against treatment.,{},"{}",{prefix}
De,Prefix,FALSE,Down or Away,de-,"Down, away or removal.",Dehydration is removal of water.,{},"{}",{prefix}
Deca,Prefix,FALSE,Ten,deca-,Ten.,Decagram is ten grams.,{},"{}",{prefix}
Deci,Prefix,FALSE,One-Tenth,deci-,One-tenth.,Deciliter is one-tenth liter.,{},"{}",{prefix}
Di,Prefix,FALSE,Two or Double,di-,Two or double.,Diplopia is double vision.,Bi,"{}",{prefix}
Dia,Prefix,FALSE,Through or Complete,dia-,Through or complete.,Diagnosis is complete knowledge.,{},"{}",{prefix}
Dif,Prefix,FALSE,Apart or Away,dif-,Apart or away.,Diffusion spreads apart.,Dis,"{}",{prefix}
Dis,Prefix,FALSE,Apart or Away,dis-,Apart or away.,Dislocation is displacement from normal position.,{},"{}",{prefix}
Dys,Prefix,FALSE,Difficult or Painful,dys-,"Difficult, painful or abnormal.",Dyspnea is difficulty breathing.,{},"{}",{prefix}
E,Prefix,FALSE,Out or Away,e-,Out or away.,Evaporation is liquid turning to vapor.,Ex,"{}",{prefix}
Ec,Prefix,FALSE,Out or Outside,ec-,Out or outside.,Ectopic pregnancy is outside uterus.,Ecto,"{}",{prefix}
Ecto,Prefix,FALSE,Outside or External,ecto-,Outside or external.,Ectoderm is outer germ layer.,Exo,"{}",{prefix}
Em,Prefix,FALSE,In,em-,In or within.,Empyema is pus in cavity.,En,"{}",{prefix}
En,Prefix,FALSE,In or Within,en-,In or within.,Encephalitis is inflammation in brain.,{},"{}",{prefix}
End,Prefix,FALSE,Within,end-,Within or inside.,Endocardium lines heart.,Endo,"{}",{prefix}
Endo,Prefix,FALSE,Within or Inside,endo-,Within or inside.,Endoscopy is looking inside the body.,{},"{}",{prefix}
Epi,Prefix,FALSE,Upon or Above,epi-,"Upon, above or over.",Epidermis is the outer layer of skin.,{},"{}",{prefix}
Eso,Prefix,FALSE,Inward,eso-,Inward.,Esotropia is inward eye turn.,{},"{}",{prefix}
Eu,Prefix,FALSE,Good or Normal,eu-,Good or normal or true.,Eupnea is normal breathing.,{},"{}",{prefix}
Ex,Prefix,FALSE,Out or Away,ex-,Out or away from.,Exhale breathes out.,E,"{}",{prefix}
Exo,Prefix,FALSE,Outside or External,exo-,Outside or external.,Exocrine glands secrete externally.,Ecto,"{}",{prefix}
Extra,Prefix,FALSE,Outside or Beyond,extra-,Outside or beyond.,Extracellular is outside cell.,{},"{}",{prefix}
Hemi,Prefix,FALSE,Half,hemi-,Half.,Hemiplegia is paralysis of half the body.,Semi,"{}",{prefix}
Heter,Prefix,FALSE,Different or Other,heter-,Different or other.,Heterogeneous is mixed composition.,{},"{}",{prefix}
Homo,Prefix,FALSE,Same,homo-,Same or alike.,Homogeneous is uniform.,{},"{}",{prefix}
Hyper,Prefix,FALSE,Above or Excess,hyper-,Too much or above normal.,Hypertension is high blood pressure.,{},"{}",{prefix}
Hypo,Prefix,FALSE,Below or Deficient,hypo-,Too little or below normal.,Hypotension is low blood pressure.,Sub,"{}",{prefix}
